school_id,school_name,postcode,borough,school_type
100000,The Aldgate School,EC3A 5DE,City of London,Primary
100008,Argyle Primary School,WC1H 9EG,Camden,Primary
100009,West Hampstead Primary School,NW6 1QL,Camden,Primary
100010,Brecknock Primary School,NW1 9AL,Camden,Primary
100011,Brookfield Primary School,N19 5DH,Camden,Primary
100013,Edith Neville Primary School,NW1 1HQ,Camden,Primary
100014,Fleet Primary School,NW3 2QT,Camden,Primary
100015,Hawley Primary School,NW1 8RP,Camden,Primary
100018,Netley Primary School,NW1 3EX,Camden,Primary
100019,New End Primary School,NW3 1HU,Camden,Primary
100020,Primrose Hill School,NW1 8JL,Camden,Primary
100021,Rhyl Community Primary School,NW5 3HB,Camden,Primary
100022,Richard Cobden Primary School,NW1 0LL,Camden,Primary
100023,Torriano Primary School,NW5 2SJ,Camden,Primary
100025,Gospel Oak Primary School,NW3 2JB,Camden,Primary
100026,Fitzjohn's Primary School,NW3 6NP,Camden,Primary
100027,Eleanor Palmer Primary School,NW5 2JA,Camden,Primary
100028,"Christ Church Primary School, Hampstead",NW3 1JH,Camden,Primary
100029,Christ Church School,NW1 4BD,Camden,Primary
100030,Emmanuel Church of England Primary School,NW6 1TF,Camden,Primary
100031,Hampstead Parochial Church of England Primary School,NW3 6TX,Camden,Primary
100032,"Holy Trinity CofE Primary School, NW3",NW3 5SQ,Camden,Primary
100033,"Holy Trinity and Saint Silas CofE Primary School, NW1",NW1 8DE,Camden,Primary
100034,Kentish Town Church of England Primary School,NW5 2TU,Camden,Primary
100035,Rosary Catholic Primary School,NW3 2AE,Camden,Primary
100036,St Alban's Church of England Primary School,EC1N 7SD,Camden,Primary
100040,St George the Martyr Church of England Primary School,WC1N 2NX,Camden,Primary
100041,St Josephs Catholic Primary School,WC2B 5NA,Camden,Primary
100042,St Mary's Kilburn Church of England Primary School,NW6 4PG,Camden,Primary
100043,St Mary and St Pancras Church of England Primary School,NW1 1QP,Camden,Primary
100045,St Patrick's Catholic Primary School,NW5 3AH,Camden,Primary
100046,St Paul's Church of England Primary School,NW3 3DS,Camden,Primary
100047,St Eugene de Mazenod Roman Catholic Primary School,NW6 4LS,Camden,Primary
100048,Our Lady Roman Catholic Primary School,NW1 0DP,Camden,Primary
100049,Haverstock School,NW3 2BQ,Camden,Secondary
100050,Parliament Hill School,NW5 1RL,Camden,Secondary
100051,Regent High School,NW1 1RX,Camden,Secondary
100052,Hampstead School,NW2 3RT,Camden,Secondary
100053,Acland Burghley School,NW5 1UJ,Camden,Secondary
100054,The Camden School for Girls,NW5 2DB,Camden,Secondary
100055,Maria Fidelis Catholic School FCJ,NW1 1LY,Camden,Secondary
100056,William Ellis School,NW5 1RN,Camden,Secondary
100059,La Sainte Union Catholic Secondary School,NW5 1RP,Camden,Secondary
100218,Berger Primary School,E9 6HB,Hackney,Primary
100223,Daubeney Primary School,E5 0EG,Hackney,Primary
100225,Gainsborough Primary School,E9 5ND,Hackney,Primary
100229,Lauriston School,E9 7JS,Hackney,Primary
100230,London Fields Primary School,E8 3RL,Hackney,Primary
100231,Millfields Community School,E5 0SH,Hackney,Primary
100232,Morningside Primary School,E9 6LL,Hackney,Primary
100234,Orchard Primary School,E9 7BB,Hackney,Primary
100235,Queensbridge Primary School,E8 4ET,Hackney,Primary
100239,Princess May Primary School,N16 8DF,Hackney,Primary
100240,Sebright School,E2 8QH,Hackney,Primary
100241,Shacklewell Primary School,E8 2EA,Hackney,Primary
100242,Southwold Primary School,E5 9NL,Hackney,Primary
100243,Thomas Fairchild Community School,N1 7HA,Hackney,Primary
100245,Shoreditch Park Primary School,N1 5JN,Hackney,Primary
100248,Woodberry Down Community Primary School,N4 1SY,Hackney,Primary
100250,Kingsmead Primary School,E9 5PP,Hackney,Primary
100252,Grasmere Primary School,N16 9PD,Hackney,Primary
100253,Jubilee Primary School,N16 6NR,Hackney,Primary
100254,Nightingale Primary School,E5 8NA,Hackney,Primary
100256,Harrington Hill Primary School,E5 9JG,Hackney,Primary
100257,Holmleigh Primary School,N16 5ED,Hackney,Primary
100258,Grazebrook Primary School,N16 0QP,Hackney,Primary
100259,Parkwood Primary School,N4 2HQ,Hackney,Primary
100260,Benthal Primary School,N16 7AU,Hackney,Primary
100261,Mandeville Primary School,E5 0BT,Hackney,Primary
100263,Holy Trinity Church of England Primary School,E8 3DY,Hackney,Primary
100264,Our Lady and St Joseph Catholic Primary School,N1 4JB,Hackney,Primary
100266,St John the Baptist Voluntary Aided Church of England Primary School,N1 6JG,Hackney,Primary
100267,St Matthias Church of England Primary School,N16 8DD,Hackney,Primary
100269,St. Paul's With St. Michael's CofE Primary School,E8 4PB,Hackney,Primary
100270,St John of Jerusalem Church of England Primary School,E9 7JF,Hackney,Primary
100274,St Scholastica's Catholic Primary School,E5 8BS,Hackney,Primary
100275,Simon Marks Jewish Primary School,N16 6PD,Hackney,Primary
100279,Stoke Newington School and Sixth Form,N16 9EX,Hackney,Secondary
100282,All Saints Catholic High School,N16 5AF,Hackney,Secondary
100284,The Urswick School - A Church of England Secondary School,E9 6NR,Hackney,Secondary
100321,Addison Primary School,W14 0DT,Hammersmith and Fulham,Primary
100322,Avonmore Primary School,W14 9LY,Hammersmith and Fulham,Primary
100324,Brackenbury Primary School,W6 0BA,Hammersmith and Fulham,Primary
100326,Miles Coverdale Primary School,W12 8JJ,Hammersmith and Fulham,Primary
100328,Flora Gardens Primary School,W6 7PZ,Hammersmith and Fulham,Primary
100331,Kenmont Primary School,NW10 6AL,Hammersmith and Fulham,Primary
100334,Melcombe Primary School,W6 9ER,Hammersmith and Fulham,Primary
100335,Old Oak Primary School,W12 0AS,Hammersmith and Fulham,Primary
100338,Sir John Lillie Primary School,SW6 7LN,Hammersmith and Fulham,Primary
100340,Wendell Park Primary School,W12 9LB,Hammersmith and Fulham,Primary
100341,Wormholt Park Primary School,W12 0SR,Hammersmith and Fulham,Primary
100344,All Saints CofE Primary School,SW6 6ED,Hammersmith and Fulham,Primary
100345,Holy Cross RC School,SW6 4BL,Hammersmith and Fulham,Primary
100346,John Betts Primary School,W6 0UA,Hammersmith and Fulham,Primary
100349,St John's Walham Green Church of England Primary School,SW6 6AS,Hammersmith and Fulham,Primary
100350,St Mary's Catholic Primary School,W14 0LT,Hammersmith and Fulham,Primary
100351,St Paul's CofE Primary School,W6 9BP,Hammersmith and Fulham,Primary
100352,St Peter's Primary School,W6 9BA,Hammersmith and Fulham,Primary
100353,St Stephen's CofE Primary School,W12 8LH,Hammersmith and Fulham,Primary
100354,Good Shepherd RC Primary School,W12 9BY,Hammersmith and Fulham,Primary
100357,St Thomas of Canterbury Catholic Primary School,SW6 7HB,Hammersmith and Fulham,Primary
100397,Ambler Primary School and Children's Centre,N4 2DR,Islington,Primary
100402,Drayton Park Primary School,N5 1PJ,Islington,Primary
100403,Duncombe Primary School,N19 4JA,Islington,Primary
100405,Gillespie Primary School,N5 1LH,Islington,Primary
100406,Grafton Primary School,N7 6AR,Islington,Primary
100407,Hanover Primary School,N1 8BD,Islington,Primary
100408,Hargrave Park Primary School,N19 5BS,Islington,Primary
100411,Laycock Primary School,N1 1SW,Islington,Primary
100415,Moreland Primary School,EC1V 8BB,Islington,Primary
100418,Pakeman Primary School,N7 6DU,Islington,Primary
100422,Robert Blair School and Children's Centre,N7 9QJ,Islington,Primary
100425,Thornhill Primary School,N1 1HX,Islington,Primary
100426,Vittoria Primary School,N1 0WF,Islington,Primary
100428,Winton Primary School,N1 9AZ,Islington,Primary
100429,Yerbury Primary School,N19 4RR,Islington,Primary
100430,Tufnell Park Primary School,N7 0HJ,Islington,Primary
100432,Ashmount Primary School,N8 9EG,Islington,Primary
100434,Prior Weston Primary School and Children's Centre,EC1Y 8JA,Islington,Primary
100437,Sacred Heart Catholic Primary School,N7 8JN,Islington,Primary
100438,St John Evangelist Catholic Primary School,N1 8BL,Islington,Primary
100439,St John's Upper Holloway CofE Primary School,N19 5RR,Islington,Primary
100440,St John's Highbury Vale CofE Primary School,N5 1DL,Islington,Primary
100441,St Joseph's Catholic Primary School,N19 5NE,Islington,Primary
100443,St Luke's CofE Primary School,EC1V 3SJ,Islington,Primary
100444,St Mark's CofE Primary School,N19 4JF,Islington,Primary
100446,St Mary's CofE Primary School,N1 2EP,Islington,Primary
100447,St Peter and St Paul Catholic Primary School,EC1V 0EU,Islington,Primary
100448,St Andrew's (Barnsbury) CofE Primary School,N1 0LB,Islington,Primary
100449,St Joan of Arc RC Primary School,N5 2UX,Islington,Primary
100450,Christ The King Catholic Primary School,N4 3QW,Islington,Primary
100455,Highbury Fields School,N5 1AR,Islington,Secondary
100457,Elizabeth Garrett Anderson School,N1 9QG,Islington,Secondary
100458,Central Foundation Boys' School,EC2A 4SH,Islington,Secondary
100477,Ashburnham Community School,SW10 0DT,Kensington and Chelsea,Primary
100478,Barlby Primary School,W10 6DW,Kensington and Chelsea,Primary
100479,Bevington Primary School,W10 5TW,Kensington and Chelsea,Primary
100480,Bousfield Primary School,SW5 0DJ,Kensington and Chelsea,Primary
100481,Colville Primary School,W11 2DF,Kensington and Chelsea,Primary
100482,Fox Primary School,W8 7PP,Kensington and Chelsea,Primary
100483,Marlborough Primary School,SW3 3AP,Kensington and Chelsea,Primary
100485,Oxford Gardens Primary School,W10 6NF,Kensington and Chelsea,Primary
100486,Park Walk Primary School,SW10 0AY,Kensington and Chelsea,Primary
100487,Avondale Park Primary School,W11 4EE,Kensington and Chelsea,Primary
100488,Thomas Jones Primary School,W11 1RQ,Kensington and Chelsea,Primary
100489,Christ Church CofE Primary School,SW3 4AA,Kensington and Chelsea,Primary
100490,Holy Trinity CofE Primary School,SW1X 9DE,Kensington and Chelsea,Primary
100491,Oratory Roman Catholic Primary School,SW3 6QH,Kensington and Chelsea,Primary
100492,St Thomas' CofE Primary School,W10 5EF,Kensington and Chelsea,Primary
100493,St Barnabas and St Philip's CofE Primary School,W8 6EJ,Kensington and Chelsea,Primary
100494,Saint Francis of Assisi Catholic Primary School,W11 4BJ,Kensington and Chelsea,Primary
100495,St Clement and St James CofE Primary School,W11 4PG,Kensington and Chelsea,Primary
100497,St Mary Abbots CofE Primary School,W8 4SP,Kensington and Chelsea,Primary
100499,Saint Mary's Catholic Primary School,W10 5AW,Kensington and Chelsea,Primary
100500,Servite RC Primary School,SW10 9NA,Kensington and Chelsea,Primary
100503,All Saints Catholic College,W10 6EL,Kensington and Chelsea,Secondary
100505,St Charles Catholic Primary School,W10 6EB,Kensington and Chelsea,Primary
100556,Ashmole Primary School,SW8 1NT,Lambeth,Primary
100560,Clapham Manor Primary School,SW4 0BZ,Lambeth,Primary
100564,Granton Primary School,SW16 5AN,Lambeth,Primary
100566,Heathbrook Primary School,SW8 3EH,Lambeth,Primary
100567,Henry Cavendish Primary School,SW12 0JA,Lambeth,Primary
100572,Jessop Primary School,SE24 0BJ,Lambeth,Primary
100574,Kingswood Primary School,SE27 9RD,Lambeth,Primary
100576,Larkhall Primary Campus,SW4 6PH,Lambeth,Primary
100577,Paxton Primary School,SE19 1PA,Lambeth,Primary
100578,Richard Atkins Primary School,SW2 4JP,Lambeth,Primary
100582,Stockwell Primary School,SW9 9TG,Lambeth,Primary
100584,Sudbourne Primary School,SW2 5EF,Lambeth,Primary
100585,Sunnyhill Primary School,SW16 2UW,Lambeth,Primary
100586,Telferscot Primary School,SW12 0HW,Lambeth,Primary
