Postcodes,Latitude,Longitude
BR1 4BY, 51.41729, -0.001715
BR1 4DN, 51.41899, -0.002129
BR1 4EY, 51.41848, 0.005068
BR1 4FD, 51.42084, -0.001862
BR1 4JG, 51.4194, -0.000702
BR1 4JL, 51.41695, -0.00055
BR1 4JN, 51.41999, -0.00305
BR1 4JP, 51.41999, 0.005163
BR1 4JQ, 51.41909, -0.001061
BR1 4JS, 51.4178, 0.003514
BR1 4JT, 51.4191, 0.001356
BR1 4JU, 51.41895, 0.000817
BR1 4JW, 51.41998, -0.003698
BR1 4JX, 51.42095, -0.001627
BR1 4JY, 51.42185, -0.004162
BR1 4JZ, 51.42237, -0.004442
BR1 4LA, 51.42296, -0.004387
BR1 4LB, 51.42473, -0.005015
BR1 4LE, 51.42316, -0.00586
BR1 4LF, 51.42305, -0.006311
BR1 4LG, 51.42308, -0.006813
BR1 4LH, 51.42364, -0.011895
BR1 4LJ, 51.42348, -0.013614
BR1 4LL, 51.42405, -0.011662
BR1 4LN, 51.42369, -0.006743
BR1 4LP, 51.42372, -0.00854
BR1 4LQ, 51.42337, -0.008713
BR1 4LR, 51.4245, -0.006133
BR1 4LS, 51.4244, -0.005691
BR1 4LT, 51.42392, -0.005813
BR1 4LU, 51.4247, -0.006066
BR1 4LW, 51.42432, -0.006659
BR1 4LX, 51.42466, -0.00568
BR1 4LY, 51.4239, -0.006216
BR1 4LZ, 51.4236, -0.005784
BR1 4NA, 51.42093, -0.000607
BR1 4NB, 51.42158, -0.000348
BR1 4ND, 51.42028, 0.001335
BR1 4NE, 51.42275, 0.001429
BR1 4NF, 51.42325, -0.001196
BR1 4NG, 51.4227, 0.000175
BR1 4NH, 51.42186, -7.7e-05
BR1 4NJ, 51.42192, 0.001594
BR1 4NL, 51.42171, 0.002347
BR1 4NN, 51.42101, 0.003769
BR1 4NP, 51.42146, 0.004839
BR1 4NQ, 51.42175, 0.005082
BR1 4NR, 51.41948, 0.002653
BR1 4NS, 51.41925, 0.004901
BR1 4NT, 51.41919, 0.004193
BR1 4NU, 51.41972, 0.004705
BR1 4NW, 51.42049, 0.004452
BR1 4PA, 51.42374, -0.00385
BR1 4PB, 51.4238, -0.003919
BR1 4PD, 51.42266, -0.003034
BR1 4PE, 51.42197, -0.000878
BR1 4PF, 51.42252, -0.000897
BR1 4PG, 51.42266, -0.002415
BR1 4PH, 51.4252, -0.004132
BR1 4PJ, 51.42603, -0.00562
BR1 4PL, 51.4258, -0.006393
BR1 4PN, 51.42399, -0.004155
BR1 4PP, 51.42487, -0.00465
BR1 4PQ, 51.42388, -0.003139
BR1 4PR, 51.42559, -0.004733
BR1 4PS, 51.42375, -0.002469
BR1 4PT, 51.42501, -0.003939
BR1 4PW, 51.42358, -0.00377
BR1 4QB, 51.42476, 0.003934
BR1 4QD, 51.42501, 0.004908
BR1 4QE, 51.42272, 0.009785
BR1 4QG, 51.42429, 0.006056
BR1 4QH, 51.42521, 0.002284
BR1 4QJ, 51.42566, 0.002951
BR1 4QL, 51.42472, 0.006621
BR1 4QN, 51.42446, 0.006323
BR1 4QP, 51.42324, 0.010325
BR1 4QQ, 51.42384, 0.00618
BR1 4QW, 51.42351, 0.010524
BR1 4RF, 51.42342, 0.008032
BR1 4RG, 51.42311, 0.006335
BR1 4RH, 51.42337, 0.007569
BR1 4RJ, 51.42387, 0.004901
BR1 4RL, 51.42348, 0.002957
BR1 4RN, 51.42521, 0.002903
BR1 4RP, 51.42397, 0.004186
BR1 4RQ, 51.42289, 0.005563
BR1 4RR, 51.42466, 0.00157
BR1 4RS, 51.42429, 0.001122
BR1 4RW, 51.4249, 0.002558
BR1 4SG, 51.42397, 0.011767
BR1 4SN, 51.42437, 0.004506
BR1 4TA, 51.41803, -0.001668
BR1 4TB, 51.41798, -0.000879
BR1 4TD, 51.4236, -0.002087
BR1 4TF, 51.42366, -0.001322
BR1 4TG, 51.41923, -0.005226
BR1 4TH, 51.41945, -0.004785
BR1 4TL, 51.42393, -0.001454
BR1 4TN, 51.42385, -0.002061
BR1 4TP, 51.41923, -0.005226
BR1 4TQ, 51.42379, -0.002568
BR1 4TR, 51.43003, -0.006194
BR1 4TS, 51.41837, -0.001294
BR1 5DR, 51.42773, 0.019787
BR1 5DS, 51.4291, 0.019761
BR1 5DT, 51.42881, 0.019273
BR1 5DU, 51.42875, 0.018796
BR1 5DX, 51.42866, 0.018332
BR1 5DY, 51.42715, 0.017617
BR1 5DZ, 51.42717, 0.016021
BR1 5EA, 51.42674, 0.016032
BR1 5EB, 51.42791, 0.016486
BR1 5EE, 51.42789, 0.014888
BR1 5EF, 51.42804, 0.014391
BR1 5EG, 51.42881, 0.016597
BR1 5EH, 51.42994, 0.016963
BR1 5EJ, 51.42967, 0.016952
BR1 5EL, 51.42534, 0.00708
BR1 5EN, 51.42453, 0.010554
BR1 5EP, 51.42685, 0.009836
BR1 5EQ, 51.42923, 0.016788
BR1 5ER, 51.42736, 0.009715
BR1 5ES, 51.4287, 0.005559
BR1 5ET, 51.42883, 0.006168
BR1 5EU, 51.43146, 0.005262
BR1 5EW, 51.42555, 0.012973
BR1 5EX, 51.43091, 0.00672
BR1 5EY, 51.43098, 0.004436
BR1 5EZ, 51.43115, 0.004832
BR1 5FD, 51.43013, -0.006175
BR1 5GN, 51.42715, -0.009398
BR1 5HA, 51.43113, 0.007895
BR1 5HB, 51.43118, 0.006804
BR1 5HD, 51.43172, 0.006712
BR1 5HG, 51.43043, 0.01405
BR1 5HH, 51.43064, 0.008852
BR1 5HJ, 51.43237, 0.008942
BR1 5HL, 51.43151, 0.009091
BR1 5HN, 51.43045, 0.020238
BR1 5HP, 51.42934, 0.014232
BR1 5HQ, 51.42889, 0.008142
BR1 5HR, 51.42743, 0.013861
BR1 5HS, 51.42775, 0.013127
BR1 5HT, 51.43413, 0.01099
BR1 5HU, 51.4301, 0.014554
BR1 5HW, 51.43044, 0.017547
BR1 5HX, 51.43095, 0.01941
BR1 5HY, 51.42986, 0.003264
BR1 5HZ, 51.43082, 0.015794
BR1 5JA, 51.42649, 0.002657
BR1 5JB, 51.43167, 0.019126
BR1 5JD, 51.43068, 0.014824
BR1 5JE, 51.43187, 0.017365
BR1 5JF, 51.43106, 0.014438
BR1 5JG, 51.43125, 0.013986
BR1 5JH, 51.43019, 0.013364
BR1 5JJ, 51.43395, 0.016378
BR1 5JL, 51.43359, 0.011945
BR1 5JN, 51.4339, 0.01193
BR1 5JP, 51.43229, 0.018966
BR1 5JQ, 51.43211, 0.017102
BR1 5JR, 51.43022, 0.011955
BR1 5JS, 51.42885, 0.012614
BR1 5JT, 51.43031, 0.011283
BR1 5JU, 51.43205, 0.010021
BR1 5JW, 51.43432, 0.016178
BR1 5JX, 51.43245, 0.010399
BR1 5JY, 51.43217, 0.01322
BR1 5JZ, 51.43218, 0.012286
BR1 5LA, 51.42922, 0.00807
BR1 5LB, 51.42978, 0.013173
BR1 5LD, 51.43341, 0.015505
