school_id,school_name,postcode,borough,school_type,centroid_latitude,centroid_longitude
100000,The Aldgate School,EC3A 5DE,City of London,Primary,51.51366,-0.07746
100008,Argyle Primary School,WC1H 9EG,Camden,Primary,51.52875,-0.124012
100009,West Hampstead Primary School,NW6 1QL,Camden,Primary,51.55069,-0.200162
100010,Brecknock Primary School,NW1 9AL,Camden,Primary,51.54748,-0.127871
100011,Brookfield Primary School,N19 5DH,Camden,Primary,51.56333,-0.145111
100013,Edith Neville Primary School,NW1 1HQ,Camden,Primary,51.53238,-0.130639
100014,Fleet Primary School,NW3 2QT,Camden,Primary,51.55344,-0.160847
100015,Hawley Primary School,NW1 8RP,Camden,Primary,51.54272,-0.143829
100018,Netley Primary School,NW1 3EX,Camden,Primary,51.52771,-0.14059
100019,New End Primary School,NW3 1HU,Camden,Primary,51.55814,-0.176512
100020,Primrose Hill School,NW1 8JL,Camden,Primary,51.53917,-0.151775
100021,Rhyl Community Primary School,NW5 3HB,Camden,Primary,51.54772,-0.150563
100022,Richard Cobden Primary School,NW1 0LL,Camden,Primary,51.53559,-0.13639
100023,Torriano Primary School,NW5 2SJ,Camden,Primary,51.54967,-0.132815
100025,Gospel Oak Primary School,NW3 2JB,Camden,Primary,51.55464,-0.152864
100026,Fitzjohn's Primary School,NW3 6NP,Camden,Primary,51.5534,-0.175836
100027,Eleanor Palmer Primary School,NW5 2JA,Camden,Primary,51.55437,-0.13907
100028,"Christ Church Primary School, Hampstead",NW3 1JH,Camden,Primary,51.55926,-0.176597
100029,Christ Church School,NW1 4BD,Camden,Primary,51.53077,-0.144344
100030,Emmanuel Church of England Primary School,NW6 1TF,Camden,Primary,51.55184,-0.194549
100031,Hampstead Parochial Church of England Primary School,NW3 6TX,Camden,Primary,51.55644,-0.179003
100032,"Holy Trinity CofE Primary School, NW3",NW3 5SQ,Camden,Primary,51.54609,-0.177772
100033,"Holy Trinity and Saint Silas CofE Primary School, NW1",NW1 8DE,Camden,Primary,51.54455,-0.145197
100034,Kentish Town Church of England Primary School,NW5 2TU,Camden,Primary,51.54972,-0.139246
100035,Rosary Catholic Primary School,NW3 2AE,Camden,Primary,51.55162,-0.166055
100036,St Alban's Church of England Primary School,EC1N 7SD,Camden,Primary,51.52017,-0.111146
100040,St George the Martyr Church of England Primary School,WC1N 2NX,Camden,Primary,51.522,-0.116231
100041,St Josephs Catholic Primary School,WC2B 5NA,Camden,Primary,51.51619,-0.121833
100042,St Mary's Kilburn Church of England Primary School,NW6 4PG,Camden,Primary,51.54037,-0.19333
100043,St Mary and St Pancras Church of England Primary School,NW1 1QP,Camden,Primary,51.53172,-0.133781
100045,St Patrick's Catholic Primary School,NW5 3AH,Camden,Primary,51.5492,-0.142786
100046,St Paul's Church of England Primary School,NW3 3DS,Camden,Primary,51.54139,-0.163712
100047,St Eugene de Mazenod Roman Catholic Primary School,NW6 4LS,Camden,Primary,51.54097,-0.193725
100048,Our Lady Roman Catholic Primary School,NW1 0DP,Camden,Primary,51.53887,-0.137453
100049,Haverstock School,NW3 2BQ,Camden,Secondary,51.54479,-0.153999
100050,Parliament Hill School,NW5 1RL,Camden,Secondary,51.55845,-0.149623
100051,Regent High School,NW1 1RX,Camden,Secondary,51.53278,-0.132944
100052,Hampstead School,NW2 3RT,Camden,Secondary,51.55561,-0.207022
100053,Acland Burghley School,NW5 1UJ,Camden,Secondary,51.55742,-0.139624
100054,The Camden School for Girls,NW5 2DB,Camden,Secondary,51.54599,-0.134667
100055,Maria Fidelis Catholic School FCJ,NW1 1LY,Camden,Secondary,51.52979,-0.133225
100056,William Ellis School,NW5 1RN,Camden,Secondary,51.5587,-0.150262
100059,La Sainte Union Catholic Secondary School,NW5 1RP,Camden,Secondary,51.56,-0.149416
100218,Berger Primary School,E9 6HB,Hackney,Primary,51.54649,-0.04511
100223,Daubeney Primary School,E5 0EG,Hackney,Primary,51.55236,-0.037848
100225,Gainsborough Primary School,E9 5ND,Hackney,Primary,51.54615,-0.025466
